,Year,Month,film_strtitle,total_amount,total_tickets
995,2016,9,PELLI CHUPULU,232740.0,1967
996,2016,9,PETE S DRAGON,240750.0,2020
997,2016,9,PINK,978730.0,8294
998,2016,9,RAAZ REBOOT,142940.0,1248
999,2016,9,ROBINSON CRUSOE,154170.0,1293
1000,2016,9,RUSTOM,78630.0,669
1001,2016,9,SATHURAM 2,45540.0,407
1002,2016,9,SKIPTRACE,285360.0,2444
1003,2016,9,STORKS,232120.0,1938
1004,2016,9,SUICIDE SQUAD,12960.0,108
1005,2016,9,SULLY,670930.0,5715
1006,2016,9,SUNSHINE MUSIC TOURS AND TRAVELS,21000.0,186
1007,2016,9,SURYAKANTHI,10510.0,94
1008,2016,9,THE MAGNIFICENT SEVEN,299890.0,2533
1009,2016,9,THODARI,609340.0,5417
1010,2016,9,UCHATHULA SHIVA,31330.0,284
1011,2016,9,VAAIMAI,74240.0,637
1012,2016,9,WAGAH,68580.0,588
1013,2016,9,WAH TAJ,18940.0,167
1014,2016,9,WAR DOGS,95910.0,802
1015,2016,10,31ST OCTOBER,34380.0,314
1016,2016,10,AANDAVAN KATTALAI,1052120.0,8962
1017,2016,10,AE DIL HAI MUSHKIL,376470.0,3217
1018,2016,10,AMMANI,11480.0,103
1019,2016,10,ANNA,15780.0,137
1020,2016,10,BEIIMAAN LOVE,73010.0,657
1021,2016,10,BLIND DATE,45120.0,387
1022,2016,10,BRIDGET JONES S BABY,46840.0,394
1023,2016,10,DEVI,1631150.0,14177
1024,2016,10,DONT BREATHE,72520.0,608
1025,2016,10,FUDDU,30750.0,270
1026,2016,10,HOWL,66810.0,565
1027,2016,10,HYPER,108490.0,938
1028,2016,10,ICE AGE COLLISION COURSE,204740.0,1708
1029,2016,10,INFERNO,617740.0,5223
1030,2016,10,IRUMUGAN,327450.0,2759
1031,2016,10,ISM,113340.0,994
1032,2016,10,JACK REACHER NEVER GO BACK,555370.0,4706
1033,2016,10,KAASHMORA,689120.0,6014
1034,2016,10,KABALI,104650.0,873
1035,2016,10,KADALAI,35700.0,303
1036,2016,10,KAGITHA KAPPAL,16160.0,142
1037,2016,10,KALLATTAM,85520.0,753
1038,2016,10,KODI,679960.0,5945
1039,2016,10,MAJNU,54990.0,472
1040,2016,10,MEENDUM ORU KADHAL KADHAI,239240.0,2001
1041,2016,10,MIRZYA,203820.0,1739
1042,2016,10,MISS PEREGRINES HOME FOR PECULIAR CHILDREN,136390.0,1143
1043,2016,10,MOTU PATLU KING OF KINGS,72030.0,603
1044,2016,10,MS DHONI THE UNTOLD STORY,1539660.0,13112
1045,2016,10,NEE ENBATHU,17820.0,154
1046,2016,10,OPPAM,86870.0,734
1047,2016,10,PINK,563720.0,4730
1048,2016,10,PREMAM,240590.0,2070
1049,2016,10,PULIMURUGAN,396260.0,3447
1050,2016,10,QUEEN OF KATWE,135490.0,1130
1051,2016,10,REKKA,816050.0,7146
1052,2016,10,REMO,2258250.0,19708
1053,2016,10,RICKSHAWKARAN,3350.0,38
1054,2016,10,SHIVAAY,219890.0,1892
1055,2016,10,STORKS,478180.0,4005
1056,2016,10,SULLY,435240.0,3649
1057,2016,10,THE ACCOUNTANT,579330.0,4902
1058,2016,10,THE GIRL ON THE TRAIN,236030.0,1999
1059,2016,10,THE MAGNIFICENT SEVEN,137170.0,1155
1060,2016,10,THIRAIKKU VARAADHA KADHAI,43040.0,366
1061,2016,10,THODARI,324490.0,2782
1062,2016,10,THOPPIL JOPPAN,80470.0,688
1063,2016,10,TRAIN TO BUSAN,81600.0,702
1064,2016,10,WITHIN,87270.0,741
1065,2016,10,WOLVES AT THE DOOR,127340.0,1096
1066,2016,11,AANANDAM,73720.0,640
1067,2016,11,AANDAVAN KATTALAI,107380.0,904
1068,2016,11,ACHCHAM ENBADHU MADAMAIYADA,2656470.0,22921
1069,2016,11,ACHCHAM YENBADHU MADAMAIYADA,1823760.0,15869
1070,2016,11,AE DIL HAI MUSHKIL,1120410.0,9532
1071,2016,11,ARRIVAL,181580.0,1548
1072,2016,11,BILLY LYNNS LONG HALFTIME WALK,100050.0,853
1073,2016,11,BLIND DATE,25680.0,214
1074,2016,11,BRIDGET JONES S BABY,85730.0,730
1075,2016,11,DEAR ZINDAGI,558870.0,4781
1076,2016,11,DESIERTO,45990.0,408
1077,2016,11,DEVI,105720.0,892
1078,2016,11,DOCTOR STRANGE,1669930.0,14016
1079,2016,11,FANTASTIC BEASTS AND WHERE TO FIND THEM,871030.0,7298
1080,2016,11,FORCE 2,424400.0,3676
1081,2016,11,INFERNO,90270.0,755
1082,2016,11,JAYAMMU NISCHAYAMMU RA,38990.0,337
1083,2016,11,KAASHMORA,1301350.0,11104
1084,2016,11,KADALAI,21250.0,178
1085,2016,11,KADAVUL IRUKAAN KUMAARU,683600.0,6023
1086,2016,11,KANLA KAASA KATAPPA,51240.0,460
1087,2016,11,KATTAPPANAYILE RITHWIK ROSHAN,133680.0,1147
1088,2016,11,KAVALAI VENDAM,628370.0,5483
1089,2016,11,KODI,1099660.0,9393
1090,2016,11,MEEN KUZHANBUM MANN PANNAYUM,285490.0,2523
1091,2016,11,MOH MAYA MONEY,29970.0,269
1092,2016,11,MR CHURCH,40350.0,350
1093,2016,11,MURUGAVEL,30300.0,258
1094,2016,11,NARUDA DONORUDA,29570.0,251
1095,2016,11,NERVE,53080.0,446
1096,2016,11,PATTATHARI,54140.0,475
1097,2016,11,REKKA,18120.0,151
1098,2016,11,REMO,262240.0,2200
1099,2016,11,ROCK ON 2,354080.0,3002
1100,2016,11,SHIVAAY,458140.0,3915
1101,2016,11,SHUT IN,47500.0,405
1102,2016,11,STORKS,92520.0,771
1103,2016,11,SULLY,93760.0,785
1104,2016,11,SWARNAKKADUVA,44020.0,387
1105,2016,11,THE ACCOUNTANT,276720.0,2328
1106,2016,11,THE GIRL ON THE TRAIN,99570.0,838
1107,2016,11,THIRAIKKU VARAADHA KADHAI,7630.0,70
1108,2016,11,TROLLS,140300.0,1171
1109,2016,11,TUM BIN 2,34840.0,305
1110,2016,12,ACHAMINDRI,23840.0,206
1111,2016,12,ACHCHAM ENBADHU MADAMAIYADA,530210.0,4489
1112,2016,12,AE DIL HAI MUSHKIL,79030.0,665
1113,2016,12,AMEERPETA LO,20800.0,177
1114,2016,12,ANTHA MAAN,17200.0,158
1115,2016,12,APPATLO OKADUNDEVAADU,18540.0,160
1116,2016,12,ARRIVAL,423900.0,3571
1117,2016,12,ASSASSINS CREED,111300.0,944
1118,2016,12,ATTI,1680.0,14
1119,2016,12,AZHAHENDRA SOLLUKKU AMUDHA,19380.0,167
1120,2016,12,BALE VELLAYA THEVA,363930.0,3195
1121,2016,12,BEFIKRE,826310.0,6973
1122,2016,12,BLIND DATE,24480.0,204
1123,2016,12,CHENNAI 600028 II,1244330.0,10781
1124,2016,12,COLLATERAL BEAUTY,199700.0,1677
1125,2016,12,DANGAL,1559230.0,13473
1126,2016,12,DEAR ZINDAGI,766610.0,6426
1127,2016,12,DEEPWATER HORIZON,109930.0,939
1128,2016,12,DHRUVA,253310.0,2165
1129,2016,12,DHURUVANGAL PATHINAARU,50960.0,443
1130,2016,12,DOCTOR STRANGE,381150.0,3190
1131,2016,12,FANTASTIC BEASTS AND WHERE TO FIND THEM,520560.0,4371
1132,2016,12,FORCE 2,73260.0,616
1133,2016,12,HACKSAW RIDGE,422480.0,3587
1134,2016,12,INTLO DEYYAM NAKEM BHAYAM,18050.0,155
1135,2016,12,KADAVUL IRUKAAN KUMAARU,64180.0,555
1136,2016,12,KAHAANI 2,968430.0,8172
1137,2016,12,KATHTHI SANDAI,717730.0,6290
1138,2016,12,KAVALAI VENDAM,233600.0,2009
1139,2016,12,LA LA LAND,286150.0,2413
